"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","Germany (DE)","48058.65","46083.37"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","Germany (DE)","48364.83","47286.36"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","Germany (DE)","49180.93","48539.67"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","Germany (DE)","50112.99","49669.14"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","Germany (DE)","50931.88","50122.45"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","Germany (DE)","51710.01","50137.17"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","Germany (DE)","52265.82","50553.67"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","Germany (DE)","52535.06","50683.11"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","Germany (DE)","52491.50","50467.41"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","Germany (DE)","52562.65","50106.74"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","Germany (DE)","52392.54","49540.58"
"01/01/2024 19:00:00 - 01/01/2024 19:15:00","Germany (DE)","52670.26","49552.41"
"01/01/2024 19:15:00 - 01/01/2024 19:30:00","Germany (DE)","51980.59","49269.93"
"01/01/2024 19:30:00 - 01/01/2024 19:45:00","Germany (DE)","51462.67","49043.80"
"01/01/2024 19:45:00 - 01/01/2024 20:00:00","Germany (DE)","50979.65","48607.27"
"01/01/2024 20:00:00 - 01/01/2024 20:15:00","Germany (DE)","50751.83","48230.57"
"01/01/2024 20:15:00 - 01/01/2024 20:30:00","Germany (DE)","49610.06","47360.97"
"01/01/2024 20:30:00 - 01/01/2024 20:45:00","Germany (DE)","48727.49","46713.87"
"01/01/2024 20:45:00 - 01/01/2024 21:00:00","Germany (DE)","48321.92","45980.74"
"01/01/2024 21:00:00 - 01/01/2024 21:15:00","Germany (DE)","47933.95","45991.61"
"01/01/2024 21:15:00 - 01/01/2024 21:30:00","Germany (DE)","47060.59","45389.68"
"01/01/2024 21:30:00 - 01/01/2024 21:45:00","Germany (DE)","47383.36","44823.88"
"01/01/2024 21:45:00 - 01/01/2024 22:00:00","Germany (DE)","46741.22","44390.21"
"01/01/2024 22:00:00 - 01/01/2024 22:15:00","Germany (DE)","48378.12","44576.16"
"01/01/2024 22:15:00 - 01/01/2024 22:30:00","Germany (DE)","47656.21","43967.67"
"01/01/2024 22:30:00 - 01/01/2024 22:45:00","Germany (DE)","46750.37","43381.39"
"01/01/2024 22:45:00 - 01/01/2024 23:00:00","Germany (DE)","46313.21","42731.68"
"01/01/2024 23:00:00 - 01/01/2024 23:15:00","Germany (DE)","45415.94","42101.31"
"01/01/2024 23:15:00 - 01/01/2024 23:30:00","Germany (DE)","44748.08","41382.33"
