"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"28/04/2024 22:45:00 - 28/04/2024 23:00:00","Germany (DE)","44720.28","45999.65"
"28/04/2024 23:00:00 - 28/04/2024 23:15:00","Germany (DE)","43907.88","45330.74"
"28/04/2024 23:15:00 - 28/04/2024 23:30:00","Germany (DE)","43329.76","44355.22"
"28/04/2024 23:30:00 - 28/04/2024 23:45:00","Germany (DE)","42469.38","43625.80"
"28/04/2024 23:45:00 - 29/04/2024 00:00:00","Germany (DE)","41653.58","43007.22"
"29/04/2024 00:00:00 - 29/04/2024 00:15:00","Germany (DE)","40801.87","42140.75"
"29/04/2024 00:15:00 - 29/04/2024 00:30:00","Germany (DE)","40574.45","41696.87"
"29/04/2024 00:30:00 - 29/04/2024 00:45:00","Germany (DE)","40411.52","41204.77"
"29/04/2024 00:45:00 - 29/04/2024 01:00:00","Germany (DE)","40120.51","40701.72"
"29/04/2024 01:00:00 - 29/04/2024 01:15:00","Germany (DE)","39692.87","40570.81"
"29/04/2024 01:15:00 - 29/04/2024 01:30:00","Germany (DE)","39294.88","39978.48"
"29/04/2024 01:30:00 - 29/04/2024 01:45:00","Germany (DE)","39216.74","39605.56"
"29/04/2024 01:45:00 - 29/04/2024 02:00:00","Germany (DE)","39091.39","39145.14"
"29/04/2024 02:00:00 - 29/04/2024 02:15:00","Germany (DE)","38888.77","39302.67"
"29/04/2024 02:15:00 - 29/04/2024 02:30:00","Germany (DE)","38872.45","39187.48"
"29/04/2024 02:30:00 - 29/04/2024 02:45:00","Germany (DE)","38985.16","38966.31"
"29/04/2024 02:45:00 - 29/04/2024 03:00:00","Germany (DE)","39070.91","38798.57"
"29/04/2024 03:00:00 - 29/04/2024 03:15:00","Germany (DE)","39438.18","39413.92"
"29/04/2024 03:15:00 - 29/04/2024 03:30:00","Germany (DE)","39638.47","39544.15"
"29/04/2024 03:30:00 - 29/04/2024 03:45:00","Germany (DE)","39822.38","39644.03"
"29/04/2024 03:45:00 - 29/04/2024 04:00:00","Germany (DE)","39968.39","39668.23"
"29/04/2024 04:00:00 - 29/04/2024 04:15:00","Germany (DE)","40521.72","40434.39"
"29/04/2024 04:15:00 - 29/04/2024 04:30:00","Germany (DE)","41157.57","40941.48"
"29/04/2024 04:30:00 - 29/04/2024 04:45:00","Germany (DE)","41666.93","41553.01"
"29/04/2024 04:45:00 - 29/04/2024 05:00:00","Germany (DE)","42045.43","42230.96"
"29/04/2024 05:00:00 - 29/04/2024 05:15:00","Germany (DE)","43325.84","43732.75"
"29/04/2024 05:15:00 - 29/04/2024 05:30:00","Germany (DE)","43959.19","44500.10"
"29/04/2024 05:30:00 - 29/04/2024 05:45:00","Germany (DE)","45328.37","45466.20"
"29/04/2024 05:45:00 - 29/04/2024 06:00:00","Germany (DE)","46705.46","47035.91"
"29/04/2024 06:00:00 - 29/04/2024 06:15:00","Germany (DE)","49265.59","50153.14"
"29/04/2024 06:15:00 - 29/04/2024 06:30:00","Germany (DE)","51239.16","52017.04"
"29/04/2024 06:30:00 - 29/04/2024 06:45:00","Germany (DE)","52734.08","53340.86"
"29/04/2024 06:45:00 - 29/04/2024 07:00:00","Germany (DE)","53741.99","54884.67"
"29/04/2024 07:00:00 - 29/04/2024 07:15:00","Germany (DE)","55350.10","55975.28"
"29/04/2024 07:15:00 - 29/04/2024 07:30:00","Germany (DE)","56214.80","57303.32"
"29/04/2024 07:30:00 - 29/04/2024 07:45:00","Germany (DE)","57441.05","58190.64"
"29/04/2024 07:45:00 - 29/04/2024 08:00:00","Germany (DE)","58183.26","58747.66"
"29/04/2024 08:00:00 - 29/04/2024 08:15:00","Germany (DE)","59113.89","59814.37"
"29/04/2024 08:15:00 - 29/04/2024 08:30:00","Germany (DE)","59928.75","60529.66"
"29/04/2024 08:30:00 - 29/04/2024 08:45:00","Germany (DE)","60516.75","60769.03"
"29/04/2024 08:45:00 - 29/04/2024 09:00:00","Germany (DE)","60749.84","60755.18"
"29/04/2024 09:00:00 - 29/04/2024 09:15:00","Germany (DE)","60852.69","60236.39"
"29/04/2024 09:15:00 - 29/04/2024 09:30:00","Germany (DE)","61123.61","60535.53"
"29/04/2024 09:30:00 - 29/04/2024 09:45:00","Germany (DE)","61058.55","60965.21"
"29/04/2024 09:45:00 - 29/04/2024 10:00:00","Germany (DE)","61277.85","60366.95"
"29/04/2024 10:00:00 - 29/04/2024 10:15:00","Germany (DE)","61125.48","59682.46"
"29/04/2024 10:15:00 - 29/04/2024 10:30:00","Germany (DE)","61212.87","59703.91"
"29/04/2024 10:30:00 - 29/04/2024 10:45:00","Germany (DE)","61222.24","59846.32"
"29/04/2024 10:45:00 - 29/04/2024 11:00:00","Germany (DE)","61298.67","59617.37"
"29/04/2024 11:00:00 - 29/04/2024 11:15:00","Germany (DE)","61287.69","59030.05"
"29/04/2024 11:15:00 - 29/04/2024 11:30:00","Germany (DE)","61681.00","58657.93"
"29/04/2024 11:30:00 - 29/04/2024 11:45:00","Germany (DE)","61883.84","59020.28"
"29/04/2024 11:45:00 - 29/04/2024 12:00:00","Germany (DE)","61847.59","58852.18"
"29/04/2024 12:00:00 - 29/04/2024 12:15:00","Germany (DE)","61199.10","57852.10"
"29/04/2024 12:15:00 - 29/04/2024 12:30:00","Germany (DE)","61171.54","57624.61"
"29/04/2024 12:30:00 - 29/04/2024 12:45:00","Germany (DE)","61116.91","57582.75"
"29/04/2024 12:45:00 - 29/04/2024 13:00:00","Germany (DE)","60939.07","57648.04"
"29/04/2024 13:00:00 - 29/04/2024 13:15:00","Germany (DE)","60859.54","57578.76"
"29/04/2024 13:15:00 - 29/04/2024 13:30:00","Germany (DE)","60079.81","57109.61"
"29/04/2024 13:30:00 - 29/04/2024 13:45:00","Germany (DE)","59824.74","56459.84"
"29/04/2024 13:45:00 - 29/04/2024 14:00:00","Germany (DE)","59475.90","55882.31"
"29/04/2024 14:00:00 - 29/04/2024 14:15:00","Germany (DE)","59404.47","55719.28"
"29/04/2024 14:15:00 - 29/04/2024 14:30:00","Germany (DE)","58922.45","55662.27"
"29/04/2024 14:30:00 - 29/04/2024 14:45:00","Germany (DE)","58343.62","55254.30"
"29/04/2024 14:45:00 - 29/04/2024 15:00:00","Germany (DE)","58356.61","55178.87"
"29/04/2024 15:00:00 - 29/04/2024 15:15:00","Germany (DE)","58255.72","55388.05"
"29/04/2024 15:15:00 - 29/04/2024 15:30:00","Germany (DE)","57818.47","55019.50"
"29/04/2024 15:30:00 - 29/04/2024 15:45:00","Germany (DE)","57536.59","55090.02"
"29/04/2024 15:45:00 - 29/04/2024 16:00:00","Germany (DE)","56885.14","55044.93"
"29/04/2024 16:00:00 - 29/04/2024 16:15:00","Germany (DE)","57095.29","54814.77"
"29/04/2024 16:15:00 - 29/04/2024 16:30:00","Germany (DE)","56856.30","54654.16"
"29/04/2024 16:30:00 - 29/04/2024 16:45:00","Germany (DE)","56669.99","54513.41"
"29/04/2024 16:45:00 - 29/04/2024 17:00:00","Germany (DE)","56267.91","54114.65"
"29/04/2024 17:00:00 - 29/04/2024 17:15:00","Germany (DE)","56940.98","54573.83"
"29/04/2024 17:15:00 - 29/04/2024 17:30:00","Germany (DE)","57046.85","55057.19"
"29/04/2024 17:30:00 - 29/04/2024 17:45:00","Germany (DE)","56903.30","55191.54"
"29/04/2024 17:45:00 - 29/04/2024 18:00:00","Germany (DE)","57462.55","55494.81"
"29/04/2024 18:00:00 - 29/04/2024 18:15:00","Germany (DE)","57500.16","55984.55"
"29/04/2024 18:15:00 - 29/04/2024 18:30:00","Germany (DE)","57492.45","55710.16"
"29/04/2024 18:30:00 - 29/04/2024 18:45:00","Germany (DE)","57667.65","55910.92"
"29/04/2024 18:45:00 - 29/04/2024 19:00:00","Germany (DE)","57742.49","56150.60"
"29/04/2024 19:00:00 - 29/04/2024 19:15:00","Germany (DE)","57681.68","56686.95"
"29/04/2024 19:15:00 - 29/04/2024 19:30:00","Germany (DE)","57778.41","56384.85"
"29/04/2024 19:30:00 - 29/04/2024 19:45:00","Germany (DE)","57583.71","56149.61"
"29/04/2024 19:45:00 - 29/04/2024 20:00:00","Germany (DE)","57412.06","56156.76"
"29/04/2024 20:00:00 - 29/04/2024 20:15:00","Germany (DE)","57316.79","55897.81"
"29/04/2024 20:15:00 - 29/04/2024 20:30:00","Germany (DE)","56602.97","55446.84"
"29/04/2024 20:30:00 - 29/04/2024 20:45:00","Germany (DE)","56137.92","55250.83"
"29/04/2024 20:45:00 - 29/04/2024 21:00:00","Germany (DE)","55701.56","55351.69"
"29/04/2024 21:00:00 - 29/04/2024 21:15:00","Germany (DE)","55219.22","54935.72"
"29/04/2024 21:15:00 - 29/04/2024 21:30:00","Germany (DE)","54283.39","54607.60"
"29/04/2024 21:30:00 - 29/04/2024 21:45:00","Germany (DE)","53488.04","53550.06"
"29/04/2024 21:45:00 - 29/04/2024 22:00:00","Germany (DE)","52579.53","52781.03"
"29/04/2024 22:00:00 - 29/04/2024 22:15:00","Germany (DE)","51663.11","51949.75"
"29/04/2024 22:15:00 - 29/04/2024 22:30:00","Germany (DE)","51018.62","51238.83"
"29/04/2024 22:30:00 - 29/04/2024 22:45:00","Germany (DE)","50195.01","50201.28"
"29/04/2024 22:45:00 - 29/04/2024 23:00:00","Germany (DE)","49139.08","48984.39"
"29/04/2024 23:00:00 - 29/04/2024 23:15:00","Germany (DE)","48139.02","47955.86"
"29/04/2024 23:15:00 - 29/04/2024 23:30:00","Germany (DE)","47201.52","47128.07"
"29/04/2024 23:30:00 - 29/04/2024 23:45:00","Germany (DE)","46478.39","46137.96"
"29/04/2024 23:45:00 - 30/04/2024 00:00:00","Germany (DE)","45967.43","45549.23"
"30/04/2024 00:00:00 - 30/04/2024 00:15:00","Germany (DE)","43577.07","44473.69"
"30/04/2024 00:15:00 - 30/04/2024 00:30:00","Germany (DE)","43369.66","43958.08"
"30/04/2024 00:30:00 - 30/04/2024 00:45:00","Germany (DE)","43110.15","43461.32"
"30/04/2024 00:45:00 - 30/04/2024 01:00:00","Germany (DE)","42800.41","43169.80"
"30/04/2024 01:00:00 - 30/04/2024 01:15:00","Germany (DE)","42204.82","42469.44"
"30/04/2024 01:15:00 - 30/04/2024 01:30:00","Germany (DE)","41940.04","42350.89"
"30/04/2024 01:30:00 - 30/04/2024 01:45:00","Germany (DE)","41743.79","42016.22"
"30/04/2024 01:45:00 - 30/04/2024 02:00:00","Germany (DE)","41471.17","41905.67"
"30/04/2024 02:00:00 - 30/04/2024 02:15:00","Germany (DE)","41153.04","41496.13"
"30/04/2024 02:15:00 - 30/04/2024 02:30:00","Germany (DE)","41115.67","41561.31"
"30/04/2024 02:30:00 - 30/04/2024 02:45:00","Germany (DE)","41286.86","41700.92"
"30/04/2024 02:45:00 - 30/04/2024 03:00:00","Germany (DE)","41399.10","41585.10"
"30/04/2024 03:00:00 - 30/04/2024 03:15:00","Germany (DE)","41676.01","41727.84"
"30/04/2024 03:15:00 - 30/04/2024 03:30:00","Germany (DE)","41757.88","41947.05"
"30/04/2024 03:30:00 - 30/04/2024 03:45:00","Germany (DE)","41787.87","42255.37"
"30/04/2024 03:45:00 - 30/04/2024 04:00:00","Germany (DE)","41725.75","42129.68"
"30/04/2024 04:00:00 - 30/04/2024 04:15:00","Germany (DE)","42191.92","42834.42"
"30/04/2024 04:15:00 - 30/04/2024 04:30:00","Germany (DE)","42520.38","43529.95"
"30/04/2024 04:30:00 - 30/04/2024 04:45:00","Germany (DE)","42987.92","43785.54"
"30/04/2024 04:45:00 - 30/04/2024 05:00:00","Germany (DE)","43357.96","44230.72"
"30/04/2024 05:00:00 - 30/04/2024 05:15:00","Germany (DE)","44469.65","45582.19"
"30/04/2024 05:15:00 - 30/04/2024 05:30:00","Germany (DE)","45030.91","46550.61"
"30/04/2024 05:30:00 - 30/04/2024 05:45:00","Germany (DE)","46437.30","47743.28"
"30/04/2024 05:45:00 - 30/04/2024 06:00:00","Germany (DE)","47781.46","48923.20"
"30/04/2024 06:00:00 - 30/04/2024 06:15:00","Germany (DE)","50433.55","51447.21"
"30/04/2024 06:15:00 - 30/04/2024 06:30:00","Germany (DE)","52205.19","53272.12"
"30/04/2024 06:30:00 - 30/04/2024 06:45:00","Germany (DE)","53728.45","54652.60"
"30/04/2024 06:45:00 - 30/04/2024 07:00:00","Germany (DE)","54753.61","55978.31"
"30/04/2024 07:00:00 - 30/04/2024 07:15:00","Germany (DE)","56302.86","57158.60"
"30/04/2024 07:15:00 - 30/04/2024 07:30:00","Germany (DE)","57259.86","58000.98"
"30/04/2024 07:30:00 - 30/04/2024 07:45:00","Germany (DE)","58075.73","58767.31"
"30/04/2024 07:45:00 - 30/04/2024 08:00:00","Germany (DE)","58898.53","59807.40"
"30/04/2024 08:00:00 - 30/04/2024 08:15:00","Germany (DE)","59581.52","60397.73"
"30/04/2024 08:15:00 - 30/04/2024 08:30:00","Germany (DE)","60042.84","61105.49"
"30/04/2024 08:30:00 - 30/04/2024 08:45:00","Germany (DE)","60392.08","61829.49"
"30/04/2024 08:45:00 - 30/04/2024 09:00:00","Germany (DE)","60362.50","61792.48"
"30/04/2024 09:00:00 - 30/04/2024 09:15:00","Germany (DE)","60219.39","60573.01"
"30/04/2024 09:15:00 - 30/04/2024 09:30:00","Germany (DE)","60253.36","60345.95"
"30/04/2024 09:30:00 - 30/04/2024 09:45:00","Germany (DE)","60434.92","60050.27"
"30/04/2024 09:45:00 - 30/04/2024 10:00:00","Germany (DE)","60756.43","60286.82"
"30/04/2024 10:00:00 - 30/04/2024 10:15:00","Germany (DE)","60763.97","58996.20"
"30/04/2024 10:15:00 - 30/04/2024 10:30:00","Germany (DE)","61019.12","59112.42"
"30/04/2024 10:30:00 - 30/04/2024 10:45:00","Germany (DE)","60971.95","58946.19"
"30/04/2024 10:45:00 - 30/04/2024 11:00:00","Germany (DE)","61180.20","59168.75"
"30/04/2024 11:00:00 - 30/04/2024 11:15:00","Germany (DE)","61206.91","58788.64"
"30/04/2024 11:15:00 - 30/04/2024 11:30:00","Germany (DE)","61400.86","59114.65"
"30/04/2024 11:30:00 - 30/04/2024 11:45:00","Germany (DE)","61564.69","59225.99"
"30/04/2024 11:45:00 - 30/04/2024 12:00:00","Germany (DE)","61517.81","59519.86"
"30/04/2024 12:00:00 - 30/04/2024 12:15:00","Germany (DE)","60924.14","58880.14"
"30/04/2024 12:15:00 - 30/04/2024 12:30:00","Germany (DE)","60806.54","58387.06"
"30/04/2024 12:30:00 - 30/04/2024 12:45:00","Germany (DE)","60774.14","58153.14"
"30/04/2024 12:45:00 - 30/04/2024 13:00:00","Germany (DE)","60719.69","57943.89"
"30/04/2024 13:00:00 - 30/04/2024 13:15:00","Germany (DE)","60486.73","57881.02"
"30/04/2024 13:15:00 - 30/04/2024 13:30:00","Germany (DE)","59813.11","57558.35"
"30/04/2024 13:30:00 - 30/04/2024 13:45:00","Germany (DE)","59742.33","57373.61"
"30/04/2024 13:45:00 - 30/04/2024 14:00:00","Germany (DE)","59374.42","56940.12"
"30/04/2024 14:00:00 - 30/04/2024 14:15:00","Germany (DE)","59162.39","56729.26"
"30/04/2024 14:15:00 - 30/04/2024 14:30:00","Germany (DE)","58861.22","56165.93"
"30/04/2024 14:30:00 - 30/04/2024 14:45:00","Germany (DE)","58255.31","55827.55"
"30/04/2024 14:45:00 - 30/04/2024 15:00:00","Germany (DE)","58016.96","55467.52"
"30/04/2024 15:00:00 - 30/04/2024 15:15:00","Germany (DE)","57851.92","55693.92"
"30/04/2024 15:15:00 - 30/04/2024 15:30:00","Germany (DE)","57325.93","55198.68"
"30/04/2024 15:30:00 - 30/04/2024 15:45:00","Germany (DE)","57054.45","55224.16"
"30/04/2024 15:45:00 - 30/04/2024 16:00:00","Germany (DE)","56421.96","55009.78"
"30/04/2024 16:00:00 - 30/04/2024 16:15:00","Germany (DE)","56589.18","55379.88"
"30/04/2024 16:15:00 - 30/04/2024 16:30:00","Germany (DE)","56272.48","54992.27"
"30/04/2024 16:30:00 - 30/04/2024 16:45:00","Germany (DE)","55938.83","54305.87"
"30/04/2024 16:45:00 - 30/04/2024 17:00:00","Germany (DE)","55483.52","54143.32"
"30/04/2024 17:00:00 - 30/04/2024 17:15:00","Germany (DE)","55922.32","55817.29"
"30/04/2024 17:15:00 - 30/04/2024 17:30:00","Germany (DE)","56046.55","56224.57"
"30/04/2024 17:30:00 - 30/04/2024 17:45:00","Germany (DE)","55904.12","56069.27"
"30/04/2024 17:45:00 - 30/04/2024 18:00:00","Germany (DE)","56348.92","56263.27"
"30/04/2024 18:00:00 - 30/04/2024 18:15:00","Germany (DE)","56501.90","56859.40"
"30/04/2024 18:15:00 - 30/04/2024 18:30:00","Germany (DE)","56488.71","56127.98"
"30/04/2024 18:30:00 - 30/04/2024 18:45:00","Germany (DE)","56690.16","55221.31"
"30/04/2024 18:45:00 - 30/04/2024 19:00:00","Germany (DE)","56669.12","56297.38"
"30/04/2024 19:00:00 - 30/04/2024 19:15:00","Germany (DE)","56734.27","56634.54"
"30/04/2024 19:15:00 - 30/04/2024 19:30:00","Germany (DE)","56682.63","56239.85"
"30/04/2024 19:30:00 - 30/04/2024 19:45:00","Germany (DE)","56518.76","55992.63"
"30/04/2024 19:45:00 - 30/04/2024 20:00:00","Germany (DE)","56499.40","55601.36"
"30/04/2024 20:00:00 - 30/04/2024 20:15:00","Germany (DE)","56396.94","55089.30"
"30/04/2024 20:15:00 - 30/04/2024 20:30:00","Germany (DE)","55864.18","54654.03"
"30/04/2024 20:30:00 - 30/04/2024 20:45:00","Germany (DE)","55483.96","54444.01"
"30/04/2024 20:45:00 - 30/04/2024 21:00:00","Germany (DE)","55036.00","54450.39"
"30/04/2024 21:00:00 - 30/04/2024 21:15:00","Germany (DE)","54613.96","54374.04"
"30/04/2024 21:15:00 - 30/04/2024 21:30:00","Germany (DE)","53593.40","53806.44"
"30/04/2024 21:30:00 - 30/04/2024 21:45:00","Germany (DE)","52883.72","53055.14"
"30/04/2024 21:45:00 - 30/04/2024 22:00:00","Germany (DE)","51912.99","52054.54"
"30/04/2024 22:00:00 - 30/04/2024 22:15:00","Germany (DE)","49650.05","50871.33"
"30/04/2024 22:15:00 - 30/04/2024 22:30:00","Germany (DE)","48907.06","50026.18"
"30/04/2024 22:30:00 - 30/04/2024 22:45:00","Germany (DE)","48115.37","49178.99"
"30/04/2024 22:45:00 - 30/04/2024 23:00:00","Germany (DE)","47173.47","48257.60"
"30/04/2024 23:00:00 - 30/04/2024 23:15:00","Germany (DE)","46209.61","47043.84"
"30/04/2024 23:15:00 - 30/04/2024 23:30:00","Germany (DE)","45168.94","46217.44"
"30/04/2024 23:30:00 - 30/04/2024 23:45:00","Germany (DE)","44446.43","45272.56"
"30/04/2024 23:45:00 - 01/05/2024 00:00:00","Germany (DE)","43844.02","44650.12"
"01/05/2024 00:00:00 - 01/05/2024 00:15:00","Germany (DE)","41375.62","41367.37"
"01/05/2024 00:15:00 - 01/05/2024 00:30:00","Germany (DE)","40620.22","40242.68"
"01/05/2024 00:30:00 - 01/05/2024 00:45:00","Germany (DE)","39913.61","39292.78"
"01/05/2024 00:45:00 - 01/05/2024 01:00:00","Germany (DE)","39337.62","38654.38"
"01/05/2024 01:00:00 - 01/05/2024 01:15:00","Germany (DE)","38541.90","38063.19"
"01/05/2024 01:15:00 - 01/05/2024 01:30:00","Germany (DE)","38181.63","37615.75"
"01/05/2024 01:30:00 - 01/05/2024 01:45:00","Germany (DE)","37956.35","37020.34"
"01/05/2024 01:45:00 - 01/05/2024 02:00:00","Germany (DE)","37494.87","36610.99"
"01/05/2024 02:00:00 - 01/05/2024 02:15:00","Germany (DE)","37447.57","36161.02"
"01/05/2024 02:15:00 - 01/05/2024 02:30:00","Germany (DE)","37416.96","35815.73"
"01/05/2024 02:30:00 - 01/05/2024 02:45:00","Germany (DE)","37279.80","35705.58"
"01/05/2024 02:45:00 - 01/05/2024 03:00:00","Germany (DE)","37241.14","35780.82"
"01/05/2024 03:00:00 - 01/05/2024 03:15:00","Germany (DE)","37175.27","35383.26"
"01/05/2024 03:15:00 - 01/05/2024 03:30:00","Germany (DE)","37270.95","35288.63"
"01/05/2024 03:30:00 - 01/05/2024 03:45:00","Germany (DE)","36888.69","35166.16"
"01/05/2024 03:45:00 - 01/05/2024 04:00:00","Germany (DE)","36964.79","35412.76"
"01/05/2024 04:00:00 - 01/05/2024 04:15:00","Germany (DE)","36983.13","34930.67"
"01/05/2024 04:15:00 - 01/05/2024 04:30:00","Germany (DE)","36601.81","35020.34"
"01/05/2024 04:30:00 - 01/05/2024 04:45:00","Germany (DE)","36776.69","35206.85"
"01/05/2024 04:45:00 - 01/05/2024 05:00:00","Germany (DE)","36616.58","35052.32"
"01/05/2024 05:00:00 - 01/05/2024 05:15:00","Germany (DE)","37152.12","35097.65"
"01/05/2024 05:15:00 - 01/05/2024 05:30:00","Germany (DE)","37052.12","34822.55"
"01/05/2024 05:30:00 - 01/05/2024 05:45:00","Germany (DE)","37217.19","34777.60"
"01/05/2024 05:45:00 - 01/05/2024 06:00:00","Germany (DE)","37236.40","34311.12"
"01/05/2024 06:00:00 - 01/05/2024 06:15:00","Germany (DE)","37665.57","34298.38"
"01/05/2024 06:15:00 - 01/05/2024 06:30:00","Germany (DE)","37710.49","34456.69"
"01/05/2024 06:30:00 - 01/05/2024 06:45:00","Germany (DE)","38354.48","34768.77"
"01/05/2024 06:45:00 - 01/05/2024 07:00:00","Germany (DE)","38721.52","35229.37"
"01/05/2024 07:00:00 - 01/05/2024 07:15:00","Germany (DE)","39520.61","36304.86"
"01/05/2024 07:15:00 - 01/05/2024 07:30:00","Germany (DE)","40197.18","37268.20"
"01/05/2024 07:30:00 - 01/05/2024 07:45:00","Germany (DE)","40866.02","38244.05"
"01/05/2024 07:45:00 - 01/05/2024 08:00:00","Germany (DE)","41711.77","39197.77"
"01/05/2024 08:00:00 - 01/05/2024 08:15:00","Germany (DE)","42387.14","39693.61"
"01/05/2024 08:15:00 - 01/05/2024 08:30:00","Germany (DE)","43988.62","40599.61"
"01/05/2024 08:30:00 - 01/05/2024 08:45:00","Germany (DE)","44726.69","41522.28"
"01/05/2024 08:45:00 - 01/05/2024 09:00:00","Germany (DE)","46044.44","43080.73"
"01/05/2024 09:00:00 - 01/05/2024 09:15:00","Germany (DE)","46709.44","43293.88"
"01/05/2024 09:15:00 - 01/05/2024 09:30:00","Germany (DE)","47422.60","44356.12"
"01/05/2024 09:30:00 - 01/05/2024 09:45:00","Germany (DE)","48462.94","44640.36"
"01/05/2024 09:45:00 - 01/05/2024 10:00:00","Germany (DE)","48921.39","44837.28"
"01/05/2024 10:00:00 - 01/05/2024 10:15:00","Germany (DE)","49743.58","44168.51"
"01/05/2024 10:15:00 - 01/05/2024 10:30:00","Germany (DE)","48481.40","44273.24"
"01/05/2024 10:30:00 - 01/05/2024 10:45:00","Germany (DE)","48795.45","44733.76"
"01/05/2024 10:45:00 - 01/05/2024 11:00:00","Germany (DE)","48867.41","44459.25"
"01/05/2024 11:00:00 - 01/05/2024 11:15:00","Germany (DE)","50472.79","44668.10"
"01/05/2024 11:15:00 - 01/05/2024 11:30:00","Germany (DE)","50253.88","44674.24"
"01/05/2024 11:30:00 - 01/05/2024 11:45:00","Germany (DE)","50382.16","45133.26"
"01/05/2024 11:45:00 - 01/05/2024 12:00:00","Germany (DE)","49976.57","44663.96"
"01/05/2024 12:00:00 - 01/05/2024 12:15:00","Germany (DE)","50786.29","44013.91"
"01/05/2024 12:15:00 - 01/05/2024 12:30:00","Germany (DE)","50833.60","43633.83"
"01/05/2024 12:30:00 - 01/05/2024 12:45:00","Germany (DE)","49109.02","43157.24"
"01/05/2024 12:45:00 - 01/05/2024 13:00:00","Germany (DE)","48267.36","42643.22"
"01/05/2024 13:00:00 - 01/05/2024 13:15:00","Germany (DE)","48175.05","42271.49"
"01/05/2024 13:15:00 - 01/05/2024 13:30:00","Germany (DE)","46091.16","41689.09"
"01/05/2024 13:30:00 - 01/05/2024 13:45:00","Germany (DE)","47142.86","41127.81"
"01/05/2024 13:45:00 - 01/05/2024 14:00:00","Germany (DE)","46011.34","40964.76"
"01/05/2024 14:00:00 - 01/05/2024 14:15:00","Germany (DE)","46249.85","40511.83"
"01/05/2024 14:15:00 - 01/05/2024 14:30:00","Germany (DE)","47604.50","40121.42"
"01/05/2024 14:30:00 - 01/05/2024 14:45:00","Germany (DE)","46248.04","40059.16"
"01/05/2024 14:45:00 - 01/05/2024 15:00:00","Germany (DE)","45812.21","40216.08"
"01/05/2024 15:00:00 - 01/05/2024 15:15:00","Germany (DE)","44971.85","40164.29"
"01/05/2024 15:15:00 - 01/05/2024 15:30:00","Germany (DE)","44445.09","40025.50"
"01/05/2024 15:30:00 - 01/05/2024 15:45:00","Germany (DE)","44479.93","40187.76"
"01/05/2024 15:45:00 - 01/05/2024 16:00:00","Germany (DE)","44048.11","39918.03"
"01/05/2024 16:00:00 - 01/05/2024 16:15:00","Germany (DE)","43173.30","40727.69"
"01/05/2024 16:15:00 - 01/05/2024 16:30:00","Germany (DE)","43248.48","40764.02"
"01/05/2024 16:30:00 - 01/05/2024 16:45:00","Germany (DE)","43379.63","40747.82"
"01/05/2024 16:45:00 - 01/05/2024 17:00:00","Germany (DE)","43264.64","41263.35"
"01/05/2024 17:00:00 - 01/05/2024 17:15:00","Germany (DE)","43282.23","42133.05"
"01/05/2024 17:15:00 - 01/05/2024 17:30:00","Germany (DE)","44078.36","42781.48"
"01/05/2024 17:30:00 - 01/05/2024 17:45:00","Germany (DE)","44817.17","43391.00"
"01/05/2024 17:45:00 - 01/05/2024 18:00:00","Germany (DE)","45986.47","43475.72"
"01/05/2024 18:00:00 - 01/05/2024 18:15:00","Germany (DE)","47063.27","44912.16"
"01/05/2024 18:15:00 - 01/05/2024 18:30:00","Germany (DE)","47342.22","45238.95"
"01/05/2024 18:30:00 - 01/05/2024 18:45:00","Germany (DE)","47190.87","45030.14"
"01/05/2024 18:45:00 - 01/05/2024 19:00:00","Germany (DE)","46302.92","44557.74"
"01/05/2024 19:00:00 - 01/05/2024 19:15:00","Germany (DE)","47144.24","45143.35"
"01/05/2024 19:15:00 - 01/05/2024 19:30:00","Germany (DE)","46274.23","44634.10"
"01/05/2024 19:30:00 - 01/05/2024 19:45:00","Germany (DE)","46208.33","44771.08"
"01/05/2024 19:45:00 - 01/05/2024 20:00:00","Germany (DE)","46480.92","44888.38"
"01/05/2024 20:00:00 - 01/05/2024 20:15:00","Germany (DE)","46267.34","44850.21"
"01/05/2024 20:15:00 - 01/05/2024 20:30:00","Germany (DE)","46324.99","45043.33"
"01/05/2024 20:30:00 - 01/05/2024 20:45:00","Germany (DE)","46190.02","45282.54"
"01/05/2024 20:45:00 - 01/05/2024 21:00:00","Germany (DE)","45855.91","45341.63"
"01/05/2024 21:00:00 - 01/05/2024 21:15:00","Germany (DE)","45649.34","45443.32"
"01/05/2024 21:15:00 - 01/05/2024 21:30:00","Germany (DE)","45466.78","45223.00"
"01/05/2024 21:30:00 - 01/05/2024 21:45:00","Germany (DE)","45429.87","44666.69"
"01/05/2024 21:45:00 - 01/05/2024 22:00:00","Germany (DE)","44949.25","44350.37"
"01/05/2024 22:00:00 - 01/05/2024 22:15:00","Germany (DE)","46087.66","44078.07"
"01/05/2024 22:15:00 - 01/05/2024 22:30:00","Germany (DE)","45504.58","43388.92"
"01/05/2024 22:30:00 - 01/05/2024 22:45:00","Germany (DE)","44822.54","42965.12"
"01/05/2024 22:45:00 - 01/05/2024 23:00:00","Germany (DE)","44042.14","42270.87"
"01/05/2024 23:00:00 - 01/05/2024 23:15:00","Germany (DE)","43343.66","41499.07"
