Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.01.2025 00:00;01.01.2025 00:15;2,16;27,99;10,62;2,16;2,54;12,36;13,62;16,35;109,00;15,41;2,67;102,20;21,00;-;138,70;118,46;147,25
01.01.2025 00:15;01.01.2025 00:30;2,16;27,99;10,62;2,16;2,54;12,36;13,62;16,35;109,00;15,41;2,67;102,20;21,00;-;138,70;118,46;147,25
01.01.2025 00:30;01.01.2025 00:45;2,16;27,99;10,62;2,16;2,54;12,36;13,62;16,35;109,00;15,41;2,67;102,20;21,00;-;138,70;118,46;147,25
01.01.2025 00:45;01.01.2025 01:00;2,16;27,99;10,62;2,16;2,54;12,36;13,62;16,35;109,00;15,41;2,67;102,20;21,00;-;138,70;118,46;147,25
01.01.2025 01:00;01.01.2025 01:15;1,60;29,36;10,27;1,60;1,93;18,92;6,24;14,05;97,03;2,19;2,04;98,20;70,50;-;134,06;129,07;126,12
01.01.2025 01:15;01.01.2025 01:30;1,60;29,36;10,27;1,60;1,93;18,92;6,24;14,05;97,03;2,19;2,04;98,20;70,50;-;134,06;129,07;126,12
01.01.2025 01:30;01.01.2025 01:45;1,60;29,36;10,27;1,60;1,93;18,92;6,24;14,05;97,03;2,19;2,04;98,20;70,50;-;134,06;129,07;126,12
01.01.2025 01:45;01.01.2025 02:00;1,60;29,36;10,27;1,60;1,93;18,92;6,24;14,05;97,03;2,19;2,04;98,20;70,50;-;134,06;129,07;126,12
01.01.2025 02:00;01.01.2025 02:15;0,00;25,86;8,38;1,63;1,93;16,66;4,16;12,39;91,47;2,18;2,04;72,60;71,07;-;134,41;121,10;116,50
01.01.2025 02:15;01.01.2025 02:30;0,00;25,86;8,38;1,63;1,93;16,66;4,16;12,39;91,47;2,18;2,04;72,60;71,07;-;134,41;121,10;116,50
01.01.2025 02:30;01.01.2025 02:45;0,00;25,86;8,38;1,63;1,93;16,66;4,16;12,39;91,47;2,18;2,04;72,60;71,07;-;134,41;121,10;116,50
01.01.2025 02:45;01.01.2025 03:00;0,00;25,86;8,38;1,63;1,93;16,66;4,16;12,39;91,47;2,18;2,04;72,60;71,07;-;134,41;121,10;116,50
