Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  2115;   41.00; 54.1832;  7.8856;18730612;18930930;Helgoland
  2115;   45.00; 54.1818;  7.8845;18931001;19081014;Helgoland
  2115;   46.00; 54.1814;  7.8849;19081015;19110430;Helgoland
  2115;   41.00; 54.1830;  7.8847;19110501;19120331;Helgoland
  2115;   41.00; 54.1854;  7.8799;19120401;19190531;Helgoland
  2115;   39.00; 54.1832;  7.8856;19190601;19320831;Helgoland
  2115;   50.00; 54.1805;  7.8839;19320901;19520417;Helgoland
  2115;   50.00; 54.1821;  7.8823;19520418;19520828;Helgoland
  2115;    4.00; 54.1752;  7.8909;19520829;19640228;Helgoland
  2115;    4.00; 54.1750;  7.8920;19640229;20060730;Helgoland
  2115;    4.36; 54.1750;  7.8920;20060731;20150819;Helgoland
  2115;    4.36; 54.1750;  7.8920;20150820;        ;Helgoland
