,PV,PV,PV,PV,PV,EUR PV,EUR PV,EUR PV,EUR PV,EUR PV
+-,0: <0 ct/kWh,1: 0-7 ct/kWh,2: 7-26 ct/kWh,3: >26  ct/kWh,2024,0: <0 ct/kWh,1: 0-7 ct/kWh,2: 7-26 ct/kWh,3: >26  ct/kWh,2024
Monat,,,,,,,,,,
1,0.0,121.3475,152.809,0.0,274.1565,0.0,5.818361618000019,13.480810221000207,0.0,19.299171839000227
2,0.0,503.7128611111113,78.06479999999702,0.0,581.7776611111084,0.0,26.509617970888755,6.221728678999668,0.0,32.73134664988842
3,39.60589999999478,785.948104285706,179.84869906251856,0.0,1005.4027033482192,-0.13098363000003202,35.20057986684212,14.157816698193159,0.0,49.22741293503524
4,306.61819999999926,645.5566999999918,290.9447000000067,0.0,1243.1195999999977,-6.955019129999956,18.753343435999295,24.479511095000536,0.0,36.27783540099988
5,537.1005107338531,682.1367868017531,464.3961807228839,0.0,1683.6334782584902,-13.006509487013663,22.137055401278083,40.72464255218609,0.0,49.855188466450514
6,327.3086584415524,974.4084629870248,465.2444292207777,7.24269999999553,1774.2042506493506,-5.835481480779116,38.834335130545554,42.673570523518116,6.125452575988918,81.79787674927347
7,498.958200000003,1049.0694000000208,385.16799999997767,0.0,1933.1956000000014,-6.150366034999813,34.96481082800175,35.00563544299829,0.0,63.82008023600023
8,508.8616000000015,949.0582999999672,638.7231000000313,0.0,2096.643,-6.899445976999963,31.521704419998496,58.17326397700197,0.0,82.79552242000051
9,199.34302500000038,487.63065000000967,396.7281999999881,0.2245,1083.9263749999982,-0.7760118679999759,10.905377232874823,36.53747868999905,0.06735224499999999,46.734196299873894
10,34.52610000000894,209.89189999999851,363.53589999999105,0.0,607.9538999999985,-0.12884169199997625,9.121557664000198,34.96372433599888,0.0,43.95644030799911
11,0.008199999995529651,74.0185,174.86173193078355,0.13960000000149012,249.02803193078057,-2.4599999986588954e-07,3.486586030000014,20.486095991376647,0.04096366400040247,24.01364543937706
12,0.0,22.905399999991058,154.5728999999985,5.059400000005961,182.53769999999554,0.0,1.242875404999569,17.60841243499917,2.2015829360014725,21.052870776000212
2024,2452.330394175409,6505.684565185575,3744.897640936954,12.66620000000298,12715.578800297939,-39.88265954579249,238.49620500342868,344.5126906412718,8.435351420990793,551.5615875198987
