Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
722;Brocken;F;01.02.1965-00:00;30.06.1965-23:00;3600;;eor;                                                                                                                                              
722;Brocken;F;14.01.1981-18:00;15.01.1981-06:00;13;;eor;                                                                                                                                                
722;Brocken;F;01.11.1991-00:00;31.12.1991-23:00;1464;;eor;                                                                                                                                              
722;Brocken;F;09.04.1992-03:00;09.04.1992-03:00;1;;eor;                                                                                                                                                 
722;Brocken;F;01.08.1992-00:00;31.08.1992-23:00;744;;eor;                                                                                                                                               
722;Brocken;F;28.01.1993-07:00;28.01.1993-12:00;6;;eor;                                                                                                                                                 
722;Brocken;F;29.01.1995-00:00;29.01.1995-11:00;12;;eor;                                                                                                                                                
722;Brocken;F;30.01.1995-00:00;30.01.1995-11:00;12;;eor;                                                                                                                                                
722;Brocken;F;31.01.1995-00:00;31.01.1995-11:00;12;;eor;                                                                                                                                                
722;Brocken;F;08.12.1995-16:00;08.12.1995-16:00;1;;eor;                                                                                                                                                 
722;Brocken;F;17.05.1997-22:00;17.05.1997-23:00;2;;eor;                                                                                                                                                 
722;Brocken;F;04.06.1997-10:00;04.06.1997-10:00;1;;eor;                                                                                                                                                 
722;Brocken;F;15.06.1997-06:00;15.06.1997-06:00;1;;eor;                                                                                                                                                 
722;Brocken;F;23.08.1999-00:00;23.08.1999-03:00;4;;eor;                                                                                                                                                 
722;Brocken;F;14.09.1999-05:00;14.09.1999-09:00;5;;eor;                                                                                                                                                 
722;Brocken;F;15.09.1999-03:00;15.09.1999-04:00;2;;eor;                                                                                                                                                 
722;Brocken;F;03.11.1999-23:00;04.11.1999-00:00;2;;eor;                                                                                                                                                 
722;Brocken;F;13.11.1999-13:00;13.11.1999-16:00;4;;eor;                                                                                                                                                 
722;Brocken;F;15.11.1999-03:00;15.11.1999-03:00;1;;eor;                                                                                                                                                 
722;Brocken;F;15.11.1999-09:00;16.11.1999-06:00;22;;eor;                                                                                                                                                
722;Brocken;F;16.11.1999-13:00;16.11.1999-17:00;5;;eor;                                                                                                                                                 
722;Brocken;F;18.11.1999-17:00;19.11.1999-07:00;15;;eor;                                                                                                                                                
722;Brocken;F;19.11.1999-12:00;20.11.1999-00:00;13;;eor;                                                                                                                                                
722;Brocken;F;20.11.1999-02:00;20.11.1999-04:00;3;;eor;                                                                                                                                                 
722;Brocken;F;20.11.1999-06:00;23.11.1999-12:00;79;;eor;                                                                                                                                                
722;Brocken;F;23.12.2001-02:00;23.12.2001-08:00;7;;eor;                                                                                                                                                 
722;Brocken;F;24.12.2001-22:00;25.12.2001-02:00;5;;eor;                                                                                                                                                 
722;Brocken;F;26.12.2001-09:00;29.12.2001-19:00;83;;eor;                                                                                                                                                
722;Brocken;F;07.12.2002-00:00;10.12.2002-11:00;84;;eor;                                                                                                                                                
722;Brocken;F;12.01.2003-21:00;13.01.2003-11:00;15;;eor;                                                                                                                                                
722;Brocken;F;16.01.2003-00:00;16.01.2003-09:00;10;;eor;                                                                                                                                                
722;Brocken;F;23.09.2003-13:00;23.09.2003-17:00;5;;eor;                                                                                                                                                 
722;Brocken;F;10.10.2003-11:00;10.10.2003-11:00;1;;eor;                                                                                                                                                 
722;Brocken;F;20.10.2003-09:00;20.10.2003-09:00;1;;eor;                                                                                                                                                 
722;Brocken;F;15.12.2003-04:00;15.12.2003-06:00;3;;eor;                                                                                                                                                 
722;Brocken;F;23.12.2003-18:00;23.12.2003-22:00;5;;eor;                                                                                                                                                 
722;Brocken;F;29.12.2003-07:00;29.12.2003-08:00;2;;eor;                                                                                                                                                 
722;Brocken;F;29.12.2003-10:00;29.12.2003-16:00;7;;eor;                                                                                                                                                 
722;Brocken;F;02.01.2004-19:00;02.01.2004-23:00;5;;eor;                                                                                                                                                 
722;Brocken;F;15.01.2004-16:00;15.01.2004-18:00;3;;eor;                                                                                                                                                 
722;Brocken;F;15.01.2004-20:00;16.01.2004-06:00;11;;eor;                                                                                                                                                
722;Brocken;F;25.01.2004-06:00;25.01.2004-06:00;1;;eor;                                                                                                                                                 
722;Brocken;F;31.01.2004-22:00;03.02.2004-11:00;62;;eor;                                                                                                                                                
722;Brocken;F;06.02.2004-21:00;07.02.2004-12:00;16;;eor;                                                                                                                                                
722;Brocken;F;08.02.2004-14:00;08.02.2004-14:00;1;;eor;                                                                                                                                                 
722;Brocken;F;08.02.2004-17:00;08.02.2004-18:00;2;;eor;                                                                                                                                                 
722;Brocken;F;09.02.2004-13:00;09.02.2004-13:00;1;;eor;                                                                                                                                                 
722;Brocken;F;10.02.2004-06:00;10.02.2004-06:00;1;;eor;                                                                                                                                                 
722;Brocken;F;20.03.2004-23:00;21.03.2004-00:00;2;;eor;                                                                                                                                                 
722;Brocken;F;22.03.2004-10:00;22.03.2004-10:00;1;;eor;                                                                                                                                                 
722;Brocken;F;29.03.2004-00:00;29.03.2004-00:00;1;;eor;                                                                                                                                                 
722;Brocken;F;03.05.2004-06:00;03.05.2004-08:00;3;;eor;                                                                                                                                                 
722;Brocken;F;06.05.2004-20:00;06.05.2004-20:00;1;;eor;                                                                                                                                                 
722;Brocken;F;24.05.2004-12:00;24.05.2004-12:00;1;;eor;                                                                                                                                                 
722;Brocken;F;02.10.2004-05:00;02.10.2004-05:00;1;;eor;                                                                                                                                                 
722;Brocken;F;31.10.2004-11:00;31.10.2004-11:00;1;;eor;                                                                                                                                                 
722;Brocken;F;05.11.2004-07:00;05.11.2004-07:00;1;;eor;                                                                                                                                                 
722;Brocken;F;10.11.2004-08:00;10.11.2004-17:00;10;;eor;                                                                                                                                                
722;Brocken;F;13.11.2004-01:00;13.11.2004-06:00;6;;eor;                                                                                                                                                 
722;Brocken;F;13.11.2004-18:00;14.11.2004-05:00;12;;eor;                                                                                                                                                
722;Brocken;F;14.11.2004-07:00;14.11.2004-10:00;4;;eor;                                                                                                                                                 
722;Brocken;F;18.11.2004-18:00;21.11.2004-18:00;73;;eor;                                                                                                                                                
722;Brocken;F;22.11.2004-04:00;22.11.2004-05:00;2;;eor;                                                                                                                                                 
722;Brocken;F;22.11.2004-12:00;22.11.2004-12:00;1;;eor;                                                                                                                                                 
722;Brocken;F;23.11.2004-09:00;24.11.2004-09:00;25;;eor;                                                                                                                                                
722;Brocken;F;05.12.2004-18:00;05.12.2004-18:00;1;;eor;                                                                                                                                                 
722;Brocken;F;18.12.2004-19:00;19.12.2004-05:00;11;;eor;                                                                                                                                                
722;Brocken;F;22.12.2004-11:00;23.12.2004-00:00;14;;eor;                                                                                                                                                
722;Brocken;F;23.12.2004-07:00;23.12.2004-13:00;7;;eor;                                                                                                                                                 
722;Brocken;F;28.12.2004-21:00;28.12.2004-22:00;2;;eor;                                                                                                                                                 
722;Brocken;F;30.12.2004-18:00;30.12.2004-18:00;1;;eor;                                                                                                                                                 
722;Brocken;F;02.01.2005-06:00;02.01.2005-06:00;1;;eor;                                                                                                                                                 
722;Brocken;F;05.01.2005-18:00;05.01.2005-18:00;1;;eor;                                                                                                                                                 
722;Brocken;F;08.01.2005-07:00;08.01.2005-07:00;1;;eor;                                                                                                                                                 
722;Brocken;F;11.01.2005-12:00;11.01.2005-12:00;1;;eor;                                                                                                                                                 
722;Brocken;F;19.01.2005-22:00;19.01.2005-23:00;2;;eor;                                                                                                                                                 
722;Brocken;F;25.01.2005-08:00;25.01.2005-08:00;1;;eor;                                                                                                                                                 
722;Brocken;F;15.02.2005-08:00;15.02.2005-10:00;3;;eor;                                                                                                                                                 
722;Brocken;F;24.02.2005-20:00;25.02.2005-05:00;10;;eor;                                                                                                                                                
722;Brocken;F;27.02.2005-09:00;27.02.2005-11:00;3;;eor;                                                                                                                                                 
722;Brocken;F;10.03.2005-18:00;11.03.2005-01:00;8;;eor;                                                                                                                                                 
722;Brocken;F;11.03.2005-03:00;11.03.2005-08:00;6;;eor;                                                                                                                                                 
722;Brocken;F;13.03.2005-06:00;13.03.2005-06:00;1;;eor;                                                                                                                                                 
722;Brocken;F;26.03.2005-12:00;26.03.2005-12:00;1;;eor;                                                                                                                                                 
722;Brocken;F;11.04.2005-11:00;11.04.2005-11:00;1;;eor;                                                                                                                                                 
722;Brocken;F;13.04.2005-19:00;13.04.2005-22:00;4;;eor;                                                                                                                                                 
722;Brocken;F;14.04.2005-01:00;14.04.2005-06:00;6;;eor;                                                                                                                                                 
722;Brocken;F;14.04.2005-08:00;14.04.2005-08:00;1;;eor;                                                                                                                                                 
722;Brocken;F;30.05.2005-02:00;30.05.2005-02:00;1;;eor;                                                                                                                                                 
