 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,112"
07:00;"0,316"
07:15;"0,504"
07:30;"0,764"
07:45;"0,760"
08:00;"0,967"
08:15;"2,035"
08:30;"2,092"
08:45;"2,460"
09:00;"2,872"
09:15;"3,121"
09:30;"3,809"
09:45;"3,922"
10:00;"5,120"
10:15;"5,529"
10:30;"7,182"
10:45;"7,832"
11:00;"8,371"
11:15;"9,634"
11:30;"10,191"
11:45;"10,943"
12:00;"11,696"
12:15;"11,923"
12:30;"10,139"
12:45;"10,909"
13:00;"12,564"
13:15;"11,975"
13:30;"10,909"
13:45;"13,548"
14:00;"13,216"
14:15;"13,316"
14:30;"12,901"
14:45;"12,791"
15:00;"12,747"
15:15;"11,424"
15:30;"12,327"
15:45;"12,649"
16:00;"11,830"
16:15;"12,309"
16:30;"9,418"
16:45;"5,583"
17:00;"3,924"
17:15;"3,485"
17:30;"2,498"
17:45;"2,723"
18:00;"4,225"
18:15;"4,299"
18:30;"3,177"
18:45;"2,664"
19:00;"2,943"
19:15;"2,341"
19:30;"1,661"
19:45;"1,576"
20:00;"1,364"
20:15;"0,996"
20:30;"0,553"
20:45;"0,276"
21:00;"0,260"
21:15;"0,116"
21:30;"0,008"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
