 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,076"
07:00;"0,080"
07:15;"0,072"
07:30;"0,236"
07:45;"0,348"
08:00;"0,448"
08:15;"0,588"
08:30;"0,692"
08:45;"0,808"
09:00;"0,860"
09:15;"1,124"
09:30;"1,056"
09:45;"1,228"
10:00;"1,372"
10:15;"1,648"
10:30;"2,080"
10:45;"1,821"
11:00;"1,700"
11:15;"1,668"
11:30;"1,408"
11:45;"0,001"
12:00;"1,102"
12:15;"1,876"
12:30;"2,256"
12:45;"1,449"
13:00;"1,967"
13:15;"1,297"
13:30;"1,328"
13:45;"1,636"
14:00;"1,428"
14:15;"1,480"
14:30;"2,155"
14:45;"2,380"
15:00;"2,272"
15:15;"3,223"
15:30;"3,864"
15:45;"4,718"
16:00;"4,107"
16:15;"2,388"
16:30;"2,601"
16:45;"2,200"
17:00;"1,473"
17:15;"0,740"
17:30;"0,916"
17:45;"1,347"
18:00;"1,616"
18:15;"1,875"
18:30;"2,696"
18:45;"1,944"
19:00;"1,940"
19:15;"1,992"
19:30;"1,728"
19:45;"1,336"
20:00;"1,045"
20:15;"0,492"
20:30;"0,284"
20:45;"0,136"
21:00;"0,020"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
