 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,064"
06:15;"0,256"
06:30;"0,428"
06:45;"0,608"
07:00;"0,760"
07:15;"0,892"
07:30;"1,056"
07:45;"1,244"
08:00;"1,432"
08:15;"1,632"
08:30;"1,828"
08:45;"2,092"
09:00;"2,472"
09:15;"3,015"
09:30;"3,663"
09:45;"4,311"
10:00;"4,979"
10:15;"5,615"
10:30;"6,267"
10:45;"6,891"
11:00;"7,439"
11:15;"8,027"
11:30;"8,511"
11:45;"8,995"
12:00;"9,420"
12:15;"9,760"
12:30;"10,092"
12:45;"10,416"
13:00;"10,648"
13:15;"10,804"
13:30;"10,964"
13:45;"11,128"
14:00;"11,200"
14:15;"11,228"
14:30;"11,220"
14:45;"11,128"
15:00;"11,004"
15:15;"10,908"
15:30;"10,800"
15:45;"10,616"
16:00;"10,288"
16:15;"9,904"
16:30;"9,520"
16:45;"9,180"
17:00;"8,693"
17:15;"8,109"
17:30;"7,509"
17:45;"6,813"
18:00;"6,192"
18:15;"5,593"
18:30;"5,053"
18:45;"3,630"
19:00;"1,485"
19:15;"1,308"
19:30;"0,932"
19:45;"0,804"
20:00;"0,992"
20:15;"0,740"
20:30;"0,456"
20:45;"0,312"
21:00;"0,148"
21:15;"0,032"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
