 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,000"
08:45;"0,000"
09:00;"0,020"
09:15;"0,036"
09:30;"0,148"
09:45;"0,176"
10:00;"0,348"
10:15;"0,448"
10:30;"0,743"
10:45;"0,365"
11:00;"0,312"
11:15;"0,503"
11:30;"1,008"
11:45;"1,272"
12:00;"0,877"
12:15;"0,808"
12:30;"1,155"
12:45;"1,688"
13:00;"1,153"
13:15;"0,524"
13:30;"0,516"
13:45;"0,460"
14:00;"0,304"
14:15;"0,284"
14:30;"0,416"
14:45;"0,903"
15:00;"1,872"
15:15;"1,105"
15:30;"0,821"
15:45;"0,080"
16:00;"0,000"
16:15;"0,000"
16:30;"0,000"
16:45;"0,080"
17:00;"0,036"
17:15;"0,040"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
