 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,140"
07:45;"0,300"
08:00;"0,432"
08:15;"0,552"
08:30;"0,660"
08:45;"0,908"
09:00;"1,376"
09:15;"1,752"
09:30;"2,255"
09:45;"2,883"
10:00;"3,579"
10:15;"4,335"
10:30;"5,043"
10:45;"5,779"
11:00;"6,435"
11:15;"7,023"
11:30;"7,496"
11:45;"7,847"
12:00;"8,540"
12:15;"8,920"
12:30;"9,244"
12:45;"9,516"
13:00;"9,712"
13:15;"9,996"
13:30;"10,128"
13:45;"10,212"
14:00;"10,256"
14:15;"10,340"
14:30;"10,276"
14:45;"10,160"
15:00;"10,148"
15:15;"10,040"
15:30;"9,840"
15:45;"9,516"
16:00;"9,092"
16:15;"8,752"
16:30;"8,400"
16:45;"7,929"
17:00;"7,513"
17:15;"6,797"
17:30;"6,041"
17:45;"5,385"
18:00;"4,633"
18:15;"3,861"
18:30;"3,105"
18:45;"2,449"
19:00;"1,773"
19:15;"1,117"
19:30;"0,585"
19:45;"0,168"
20:00;"0,004"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
