 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,000"
08:45;"0,000"
09:00;"0,048"
09:15;"0,112"
09:30;"0,176"
09:45;"0,280"
10:00;"0,324"
10:15;"0,380"
10:30;"0,623"
10:45;"0,816"
11:00;"0,612"
11:15;"0,640"
11:30;"0,876"
11:45;"1,375"
12:00;"1,604"
12:15;"1,847"
12:30;"1,125"
12:45;"2,027"
13:00;"1,689"
13:15;"1,863"
13:30;"2,731"
13:45;"1,638"
14:00;"1,264"
14:15;"1,156"
14:30;"1,348"
14:45;"1,196"
15:00;"1,244"
15:15;"0,705"
15:30;"0,508"
15:45;"0,372"
16:00;"0,576"
16:15;"0,640"
16:30;"0,304"
16:45;"0,092"
17:00;"0,060"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
