 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,084"
08:15;"0,196"
08:30;"0,396"
08:45;"1,012"
09:00;"0,708"
09:15;"0,496"
09:30;"0,724"
09:45;"0,828"
10:00;"1,363"
10:15;"1,092"
10:30;"1,268"
10:45;"0,880"
11:00;"0,908"
11:15;"1,096"
11:30;"1,232"
11:45;"1,368"
12:00;"2,498"
12:15;"4,646"
12:30;"1,816"
12:45;"2,172"
13:00;"2,336"
13:15;"1,957"
13:30;"7,537"
13:45;"7,026"
14:00;"1,949"
14:15;"1,459"
14:30;"1,013"
14:45;"1,926"
15:00;"1,282"
15:15;"0,457"
15:30;"0,440"
15:45;"1,506"
16:00;"6,050"
16:15;"4,810"
16:30;"2,296"
16:45;"2,408"
17:00;"6,605"
17:15;"3,872"
17:30;"1,780"
17:45;"2,315"
18:00;"1,773"
18:15;"0,868"
18:30;"1,231"
18:45;"1,940"
19:00;"1,093"
19:15;"0,229"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
