 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,100"
07:00;"0,308"
07:15;"0,520"
07:30;"0,732"
07:45;"1,127"
08:00;"1,240"
08:15;"1,436"
08:30;"1,728"
08:45;"1,908"
09:00;"2,116"
09:15;"2,372"
09:30;"3,059"
09:45;"4,291"
10:00;"3,761"
10:15;"3,204"
10:30;"3,280"
10:45;"3,640"
11:00;"3,380"
11:15;"4,622"
11:30;"8,056"
11:45;"8,144"
12:00;"6,661"
12:15;"11,839"
12:30;"11,847"
12:45;"7,182"
13:00;"9,752"
13:15;"6,471"
13:30;"9,179"
13:45;"8,377"
14:00;"13,040"
14:15;"10,217"
14:30;"11,297"
14:45;"11,340"
15:00;"6,222"
15:15;"12,245"
15:30;"10,741"
15:45;"7,382"
16:00;"11,588"
16:15;"11,713"
16:30;"11,475"
16:45;"9,618"
17:00;"8,002"
17:15;"9,523"
17:30;"9,156"
17:45;"8,365"
18:00;"7,441"
18:15;"6,645"
18:30;"5,713"
18:45;"4,721"
19:00;"3,821"
19:15;"2,929"
19:30;"2,133"
19:45;"1,609"
20:00;"1,113"
20:15;"0,804"
20:30;"0,520"
20:45;"0,188"
21:00;"0,008"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
