 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,008"
08:15;"0,156"
08:30;"0,356"
08:45;"0,536"
09:00;"0,784"
09:15;"1,140"
09:30;"1,635"
09:45;"2,231"
10:00;"2,907"
10:15;"3,603"
10:30;"4,343"
10:45;"5,051"
11:00;"5,655"
11:15;"6,195"
11:30;"6,767"
11:45;"7,347"
12:00;"7,823"
12:15;"8,288"
12:30;"8,656"
12:45;"8,932"
13:00;"9,144"
13:15;"9,304"
13:30;"9,400"
13:45;"9,508"
14:00;"9,532"
14:15;"9,476"
14:30;"9,364"
14:45;"9,272"
15:00;"9,056"
15:15;"8,744"
15:30;"8,408"
15:45;"8,168"
16:00;"7,784"
16:15;"7,285"
16:30;"6,345"
16:45;"5,489"
17:00;"4,960"
17:15;"4,373"
17:30;"3,765"
17:45;"3,173"
18:00;"2,481"
18:15;"1,793"
18:30;"0,977"
18:45;"0,253"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
