 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,000"
08:45;"0,064"
09:00;"0,475"
09:15;"0,856"
09:30;"1,260"
09:45;"1,723"
10:00;"2,259"
10:15;"2,875"
10:30;"3,703"
10:45;"4,323"
11:00;"4,767"
11:15;"5,335"
11:30;"5,955"
11:45;"6,341"
12:00;"2,655"
12:15;"2,372"
12:30;"1,569"
12:45;"1,724"
13:00;"1,816"
13:15;"3,104"
13:30;"7,806"
13:45;"7,836"
14:00;"7,149"
14:15;"6,773"
14:30;"5,642"
14:45;"4,337"
15:00;"3,860"
15:15;"3,632"
15:30;"3,528"
15:45;"3,085"
16:00;"2,676"
16:15;"2,049"
16:30;"1,293"
16:45;"0,621"
17:00;"0,060"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
