 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,004"
06:15;"0,120"
06:30;"0,340"
06:45;"0,748"
07:00;"0,896"
07:15;"0,960"
07:30;"1,336"
07:45;"1,631"
08:00;"1,956"
08:15;"2,471"
08:30;"2,708"
08:45;"2,380"
09:00;"2,512"
09:15;"3,063"
09:30;"2,815"
09:45;"5,438"
10:00;"5,608"
10:15;"6,951"
10:30;"7,844"
10:45;"9,008"
11:00;"4,242"
11:15;"4,404"
11:30;"11,677"
11:45;"9,179"
12:00;"7,992"
12:15;"9,184"
12:30;"10,314"
12:45;"13,450"
13:00;"13,041"
13:15;"11,001"
13:30;"10,285"
13:45;"8,523"
14:00;"7,879"
14:15;"8,696"
14:30;"11,391"
14:45;"13,976"
15:00;"13,499"
15:15;"13,780"
15:30;"10,436"
15:45;"7,974"
16:00;"7,934"
16:15;"5,372"
16:30;"5,245"
16:45;"4,557"
17:00;"4,240"
17:15;"3,925"
17:30;"2,377"
17:45;"2,185"
18:00;"2,052"
18:15;"1,285"
18:30;"1,260"
18:45;"1,780"
19:00;"1,244"
19:15;"1,032"
19:30;"0,553"
19:45;"0,212"
20:00;"0,252"
20:15;"0,376"
20:30;"0,548"
20:45;"0,028"
21:00;"0,072"
21:15;"0,008"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
