 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,096"
08:00;"0,356"
08:15;"0,684"
08:30;"0,872"
08:45;"1,028"
09:00;"1,352"
09:15;"1,831"
09:30;"2,296"
09:45;"3,343"
10:00;"4,331"
10:15;"5,060"
10:30;"2,893"
10:45;"6,441"
11:00;"6,956"
11:15;"7,411"
11:30;"7,150"
11:45;"7,502"
12:00;"8,331"
12:15;"8,416"
12:30;"7,865"
12:45;"7,883"
13:00;"8,544"
13:15;"8,261"
13:30;"7,884"
13:45;"7,840"
14:00;"7,692"
14:15;"6,893"
14:30;"5,813"
14:45;"5,484"
15:00;"5,105"
15:15;"4,245"
15:30;"3,641"
15:45;"3,172"
16:00;"2,852"
16:15;"2,365"
16:30;"1,561"
16:45;"1,001"
17:00;"0,361"
17:15;"0,020"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
