 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,000"
08:30;"0,000"
08:45;"0,000"
09:00;"0,028"
09:15;"0,040"
09:30;"0,124"
09:45;"0,148"
10:00;"0,304"
10:15;"0,448"
10:30;"0,360"
10:45;"0,767"
11:00;"0,964"
11:15;"1,264"
11:30;"1,639"
11:45;"2,060"
12:00;"2,048"
12:15;"1,317"
12:30;"2,238"
12:45;"4,438"
13:00;"6,327"
13:15;"7,310"
13:30;"4,815"
13:45;"1,951"
14:00;"1,660"
14:15;"1,785"
14:30;"0,716"
14:45;"0,975"
15:00;"1,440"
15:15;"3,270"
15:30;"0,947"
15:45;"0,424"
16:00;"0,304"
16:15;"0,316"
16:30;"0,140"
16:45;"0,004"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
