 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,088"
07:45;"0,260"
08:00;"0,392"
08:15;"0,500"
08:30;"0,604"
08:45;"0,872"
09:00;"1,336"
09:15;"1,739"
09:30;"2,279"
09:45;"2,959"
10:00;"3,683"
10:15;"4,439"
10:30;"5,155"
10:45;"5,855"
11:00;"6,459"
11:15;"7,031"
11:30;"7,619"
11:45;"8,104"
12:00;"8,567"
12:15;"8,916"
12:30;"8,704"
12:45;"9,307"
13:00;"9,844"
13:15;"9,589"
13:30;"9,563"
13:45;"9,345"
14:00;"10,455"
14:15;"10,188"
14:30;"10,304"
14:45;"10,272"
15:00;"10,044"
15:15;"10,024"
15:30;"9,776"
15:45;"9,173"
16:00;"7,741"
16:15;"7,811"
16:30;"8,396"
16:45;"8,156"
17:00;"6,546"
17:15;"6,028"
17:30;"4,642"
17:45;"4,614"
18:00;"5,297"
18:15;"4,117"
18:30;"2,630"
18:45;"2,456"
19:00;"1,997"
19:15;"1,273"
19:30;"0,593"
19:45;"0,096"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
