 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,072"
08:15;"0,320"
08:30;"0,292"
08:45;"0,587"
09:00;"1,351"
09:15;"0,673"
09:30;"1,530"
09:45;"2,855"
10:00;"5,101"
10:15;"4,267"
10:30;"4,003"
10:45;"4,910"
11:00;"4,583"
11:15;"4,126"
11:30;"5,967"
11:45;"6,890"
12:00;"7,920"
12:15;"7,496"
12:30;"8,304"
12:45;"8,420"
13:00;"8,791"
13:15;"8,965"
13:30;"6,016"
13:45;"2,920"
14:00;"1,141"
14:15;"1,460"
14:30;"1,811"
14:45;"1,281"
15:00;"1,508"
15:15;"3,681"
15:30;"4,109"
15:45;"3,489"
16:00;"3,108"
16:15;"2,349"
16:30;"1,405"
16:45;"0,333"
17:00;"0,000"
17:15;"0,000"
17:30;"0,000"
17:45;"0,000"
18:00;"0,000"
18:15;"0,000"
18:30;"0,000"
18:45;"0,000"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
