 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,100"
07:15;"0,308"
07:30;"0,488"
07:45;"0,708"
08:00;"0,936"
08:15;"1,048"
08:30;"1,248"
08:45;"1,256"
09:00;"1,144"
09:15;"1,576"
09:30;"1,979"
09:45;"4,401"
10:00;"4,277"
10:15;"6,350"
10:30;"6,235"
10:45;"6,011"
11:00;"7,149"
11:15;"7,313"
11:30;"9,178"
11:45;"9,335"
12:00;"10,079"
12:15;"10,352"
12:30;"11,220"
12:45;"11,075"
13:00;"10,302"
13:15;"9,535"
13:30;"10,260"
13:45;"9,712"
14:00;"9,648"
14:15;"10,507"
14:30;"9,864"
14:45;"9,794"
15:00;"8,777"
15:15;"7,406"
15:30;"7,132"
15:45;"5,861"
16:00;"7,286"
16:15;"5,044"
16:30;"5,999"
16:45;"5,629"
17:00;"4,289"
17:15;"2,589"
17:30;"2,992"
17:45;"2,808"
18:00;"2,201"
18:15;"1,433"
18:30;"0,577"
18:45;"0,028"
19:00;"0,000"
19:15;"0,000"
19:30;"0,000"
19:45;"0,000"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
