 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,032"
06:30;"0,204"
06:45;"0,356"
07:00;"0,496"
07:15;"0,660"
07:30;"0,948"
07:45;"1,176"
08:00;"1,400"
08:15;"1,612"
08:30;"1,824"
08:45;"2,108"
09:00;"2,531"
09:15;"3,123"
09:30;"3,839"
09:45;"4,591"
10:00;"5,371"
10:15;"6,123"
10:30;"6,835"
10:45;"7,531"
11:00;"8,159"
11:15;"8,707"
11:30;"9,319"
11:45;"9,748"
12:00;"10,136"
12:15;"10,588"
12:30;"10,956"
12:45;"11,264"
13:00;"11,548"
13:15;"11,656"
13:30;"11,528"
13:45;"11,771"
14:00;"12,172"
14:15;"12,111"
14:30;"12,170"
14:45;"9,723"
15:00;"9,273"
15:15;"9,057"
15:30;"3,443"
15:45;"3,572"
16:00;"3,412"
16:15;"2,753"
16:30;"2,517"
16:45;"1,233"
17:00;"1,547"
17:15;"1,879"
17:30;"5,616"
17:45;"3,613"
18:00;"0,960"
18:15;"0,884"
18:30;"1,103"
18:45;"1,524"
19:00;"1,204"
19:15;"1,240"
19:30;"0,972"
19:45;"0,752"
20:00;"0,792"
20:15;"0,580"
20:30;"0,308"
20:45;"0,072"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
