Stations_id;Stationshoehe;Geogr.Breite;Geogr.Laenge;von_datum;bis_datum;Stationsname
  1490;  407.00; 47.6528;  9.4733;18260901;18521231;Friedrichshafen
  1490;  402.00; 47.6528;  8.4734;18530101;18660331;Friedrichshafen
  1490;  395.00; 47.6494;  9.4794;18660401;18730831;Friedrichshafen
  1490;  403.00; 47.6528;  9.4733;18730901;19030630;Friedrichshafen
  1490;  402.00; 47.6528;  8.4734;19030701;19040426;Friedrichshafen
  1490;  403.00; 47.6521;  9.4750;19040427;19240114;Friedrichshafen
  1490;  398.00; 47.6519;  9.4856;19240115;19440331;Friedrichshafen
  1490;  405.00; 47.6628;  9.4984;19440401;19450228;Friedrichshafen
  1490;  401.00; 47.6617;  9.4944;19461001;19500124;Friedrichshafen
  1490;  401.00; 47.6524;  9.4858;19500125;19770131;Friedrichshafen
  1490;  398.00; 47.6680;  9.5108;19770201;19801130;Friedrichshafen
  1490;  398.00; 47.6494;  9.4797;19880901;19990215;Friedrichshafen
  1490;  394.00; 47.6454;  9.4795;20001114;        ;Friedrichshafen
